n,epsilon,dd,hh,Qsc_MACRS,inv_C_start,inv_C_end,invC_sum,FOMS,FOMS_norm_n,FOMS_norm_ne,logQ,logInvC,logFOMS,logFOMS_norm_n,logFOMS_norm_ne
2,3,2.5000000000e-01,5.0000000000e-01,6.4166400000e-10,7.9061500000e+11,9.3925700000e+11,1.7298720000e+12,7.5727920000e-03,3.7863960000e-03,1.2621320000e-03,-1.8385384651e+01,1.2238013969e+01,-2.1207439717e+00,-2.4217739673e+00,-2.8988952221e+00
2,3,2.5000000000e-01,1.0000000000e+00,3.0165200000e-10,1.1665900000e+12,1.2268400000e+12,2.3934300000e+12,2.3155780000e-03,1.1577890000e-03,3.8592966667e-04,-1.9040987582e+01,1.2379020730e+01,-2.6353405853e+00,-2.9363705809e+00,-3.4134918356e+00
2,3,5.0000000000e-01,3.9062500000e-03,1.3706300000e-09,1.5185293537e+10,2.6847600000e+11,2.8366129354e+11,5.6658580000e-03,2.8329290000e-03,9.4430966667e-04,-1.7726159533e+01,1.1452800079e+01,-2.2467343141e+00,-2.5477643098e+00,-3.0248855645e+00
2,3,5.0000000000e-01,7.8125000000e-03,1.3466700000e-09,2.9895950692e+10,3.3909800000e+11,3.6899395069e+11,7.1149000000e-03,3.5574500000e-03,1.1858166667e-03,-1.7741477629e+01,1.1567019246e+01,-2.1478311996e+00,-2.4488611952e+00,-2.9259824499e+00
2,3,5.0000000000e-01,1.5625000000e-02,1.3018300000e-09,5.8215071913e+10,4.0513200000e+11,4.6334707191e+11,8.3491550000e-03,4.1745775000e-03,1.3915258333e-03,-1.7770891449e+01,1.1665906423e+01,-2.0783574763e+00,-2.3793874720e+00,-2.8565087267e+00
2,3,5.0000000000e-01,3.1250000000e-02,1.2201700000e-09,1.1144500000e+11,4.7072400000e+11,5.8216900000e+11,9.2153690000e-03,4.6076845000e-03,1.5358948333e-03,-1.7827159314e+01,1.1765049076e+01,-2.0354872702e+00,-2.3365172658e+00,-2.8136385205e+00
2,3,5.0000000000e-01,6.2500000000e-02,1.0858900000e-09,2.0717600000e+11,5.5205400000e+11,7.5923000000e+11,9.5185900000e-03,4.7592950000e-03,1.5864316667e-03,-1.7928428333e+01,1.1880373360e+01,-2.0214273794e+00,-2.3224573751e+00,-2.7995786298e+00
2,3,5.0000000000e-01,1.2500000000e-01,8.8090700000e-10,3.6865900000e+11,6.6120300000e+11,1.0298620000e+12,8.4969950000e-03,4.2484975000e-03,1.4161658333e-03,-1.8110139878e+01,1.2012779034e+01,-2.0707346373e+00,-2.3717646330e+00,-2.8488858877e+00
2,3,5.0000000000e-01,2.5000000000e-01,6.0551600000e-10,6.1698200000e+11,8.1712100000e+11,1.4341030000e+12,5.5905950000e-03,2.7952975000e-03,9.3176583333e-04,-1.8435748753e+01,1.2156580344e+01,-2.2525419682e+00,-2.5535719639e+00,-3.0306932186e+00
2,3,5.0000000000e-01,5.0000000000e-01,3.1501500000e-10,9.5036700000e+11,1.0452100000e+12,1.9955770000e+12,2.1055040000e-03,1.0527520000e-03,3.5091733333e-04,-1.9003337532e+01,1.2300068490e+01,-2.6766439292e+00,-2.9776739248e+00,-3.4547951796e+00
