n,E,dd,hh,inv_C_start,inv_C_end,Qsc_start,Qsc_end,Qsc_MACRS,Voc_MACRS,FOMS
2,2,0.125,0.25,5.11163E+11,7.65471E+11,7.16917E-10,2.21083E-09,1.49391E-09,1325.860054,0.030292837
2,2,0.125,0.5,8.2323E+11,9.77403E+11,7.36281E-10,1.70923E-09,9.72953E-10,1064.480872,0.018123188
2,2,0.125,1,1.20561E+12,1.27496E+12,7.82857E-10,1.32451E-09,5.41657E-10,744.8777078,0.007737966
2,2,0.25,0.00390625,13692403521,2.60576E+11,1.1749E-09,3.46223E-09,2.28732E-09,886.0843696,0.015256536
2,2,0.25,0.0078125,27005143239,3.30745E+11,1.17442E-09,3.42459E-09,2.25016E-09,1100.949766,0.019258988
2,2,0.25,0.015625,52685123013,3.96891E+11,1.17371E-09,3.35457E-09,2.18086E-09,1269.562273,0.022734418
2,2,0.25,0.03125,1.01238E+11,4.63623E+11,1.17235E-09,3.23024E-09,2.0579E-09,1378.928391,0.025433953
2,2,0.25,0.0625,1.89693E+11,5.45738E+11,1.17125E-09,3.02598E-09,1.85473E-09,1429.212155,0.026898594
2,2,0.25,0.125,3.41197E+11,6.52689E+11,1.16879E-09,2.7093E-09,1.54051E-09,1369.544126,0.025077896
2,2,0.25,0.25,5.79848E+11,8.06742E+11,1.16714E-09,2.28486E-09,1.11772E-09,1166.528425,0.018417867
2,2,0.25,0.5,9.11898E+11,1.03378E+12,1.17156E-09,1.83467E-09,6.63104E-10,828.2909651,0.009096182
2,2,0.25,1,1.29831E+12,1.3417E+12,1.19704E-09,1.50561E-09,3.08573E-10,465.9512256,0.002672677
2,2,0.5,0.00390625,18150152741,2.85668E+11,1.76293E-09,3.46987E-09,1.70694E-09,959.2321429,0.009411846
2,2,0.5,0.0078125,35637036961,3.5619E+11,1.7619E-09,3.4337E-09,1.6718E-09,1160.259948,0.011643586
2,2,0.5,0.015625,69096344724,4.23743E+11,1.75979E-09,3.36676E-09,1.60696E-09,1305.043594,0.013531404
2,2,0.5,0.03125,1.31382E+11,4.9371E+11,1.75638E-09,3.24917E-09,1.49279E-09,1373.390872,0.014810447
2,2,0.5,0.0625,2.41794E+11,5.82891E+11,1.74888E-09,3.05767E-09,1.30879E-09,1359.419249,0.015019381
2,2,0.5,0.125,4.24251E+11,7.04394E+11,1.73528E-09,2.77185E-09,1.03657E-09,1216.279028,0.01289372
2,2,0.5,0.25,6.9733E+11,8.78976E+11,1.71287E-09,2.40158E-09,6.88712E-10,916.4980936,0.007949524
2,2,0.5,0.5,1.05143E+12,1.13045E+12,1.6821E-09,2.0277E-09,3.45607E-10,523.6094783,0.002770914
2,2,0.5,1,1.42988E+12,1.44888E+12,1.6568E-09,1.77484E-09,1.18039E-10,202.5026999,0.000426465
2,2,1,0.00390625,26908527137,3.23844E+11,2.35158E-09,3.47854E-09,1.12696E-09,1063.226332,0.004736315
2,2,1,0.0078125,52466509412,3.93424E+11,2.3498E-09,3.4438E-09,1.094E-09,1231.587138,0.005673962
2,2,1,0.015625,1.00656E+11,4.61566E+11,2.34646E-09,3.38027E-09,1.03382E-09,1324.034128,0.006388806
2,2,1,0.03125,1.87471E+11,5.40047E+11,2.33893E-09,3.27286E-09,9.3393E-10,1329.017245,0.006746802
2,2,1,0.0625,3.35192E+11,6.45814E+11,2.3242E-09,3.10399E-09,7.79784E-10,1225.544234,0.006342303
2,2,1,0.125,5.64826E+11,7.91784E+11,2.29597E-09,2.86176E-09,5.65793E-10,969.072558,0.004617387
2,2,1,0.25,8.80471E+11,1.00016E+12,2.24593E-09,2.56519E-09,3.19265E-10,588.1191295,0.002038125
2,2,1,0.5,1.24815E+12,1.285E+12,2.16783E-09,2.28727E-09,1.19443E-10,233.3728577,0.000384246
2,2,1,1,1.59466E+12,1.59976E+12,2.07106E-09,2.09535E-09,2.42915E-11,49.43239315,2.00414E-05
2,3,0.03125,0.00390625,6735761947,2.01206E+11,3.01625E-10,3.4636E-09,3.16197E-09,694.8653859,0.022104686
2,3,0.03125,0.0078125,13372778637,2.67285E+11,3.01321E-10,3.43335E-09,3.13203E-09,913.6553598,0.029272235
2,3,0.03125,0.015625,26406415487,3.28894E+11,3.01175E-10,3.37462E-09,3.07344E-09,1101.939336,0.035683902
2,3,0.03125,0.03125,51711964364,3.81728E+11,3.01561E-10,3.26235E-09,2.96078E-09,1229.733075,0.040398775
2,3,0.03125,0.0625,99822469614,4.4907E+11,3.0256E-10,3.07983E-09,2.77727E-09,1352.856336,0.045014129
2,3,0.03125,0.125,1.88124E+11,5.31789E+11,3.04463E-10,2.7821E-09,2.47764E-09,1422.215491,0.046987516
2,3,0.03125,0.25,3.41822E+11,6.45858E+11,3.09981E-10,2.34394E-09,2.03396E-09,1407.893229,0.043443574
2,3,0.03125,0.5,5.86724E+11,8.15893E+11,3.22867E-10,1.80305E-09,1.48018E-09,1281.66379,0.032673584
2,3,0.03125,1,9.25734E+11,1.07381E+12,3.50903E-10,1.32083E-09,9.6993E-10,1093.48389,0.020000385
2,3,0.0625,0.00390625,7302812400,2.06876E+11,5.55485E-10,3.46626E-09,2.91078E-09,713.0300746,0.019293909
2,3,0.0625,0.0078125,14489954290,2.7432E+11,5.55205E-10,3.43668E-09,2.88147E-09,934.7042815,0.025495719
2,3,0.0625,0.015625,28591159284,3.36946E+11,5.54873E-10,3.37966E-09,2.82478E-09,1122.897524,0.031011846
2,3,0.0625,0.03125,55904742496,3.92258E+11,5.55167E-10,3.27215E-09,2.71698E-09,1252.489146,0.03517504
2,3,0.0625,0.0625,1.07637E+11,4.61027E+11,5.55365E-10,3.09532E-09,2.53996E-09,1367.24867,0.039006321
2,3,0.0625,0.125,2.02175E+11,5.47297E+11,5.57319E-10,2.81019E-09,2.25287E-09,1425.333038,0.04044401
2,3,0.0625,0.25,3.65463E+11,6.63739E+11,5.63245E-10,2.38487E-09,1.82162E-09,1377.086008,0.036311542
2,3,0.0625,0.5,6.22314E+11,8.37728E+11,5.76106E-10,1.86056E-09,1.28445E-09,1200.123924,0.025611101
2,3,0.0625,1,9.73276E+11,1.1016E+12,6.08323E-10,1.40178E-09,7.93462E-10,952.1461321,0.013889005
2,3,0.125,0.00390625,8440895139,2.17412E+11,9.60122E-10,3.4706E-09,2.51048E-09,746.4453332,0.015134389
2,3,0.125,0.0078125,16728183163,2.86457E+11,9.59388E-10,3.44202E-09,2.48263E-09,969.9427402,0.019868227
2,3,0.125,0.015625,32921603658,3.50757E+11,9.58633E-10,3.3876E-09,2.42896E-09,1156.662774,0.024067748
2,3,0.125,0.03125,64179356430,4.09843E+11,9.57524E-10,3.28698E-09,2.32946E-09,1285.694915,0.027348619
2,3,0.125,0.0625,1.22992E+11,4.80908E+11,9.56573E-10,3.11843E-09,2.16185E-09,1382.025836,0.030008466
2,3,0.125,0.125,2.29224E+11,5.69918E+11,9.5541E-10,2.84493E-09,1.88952E-09,1402.371653,0.030335478
2,3,0.125,0.25,4.09112E+11,6.90904E+11,9.54071E-10,2.43805E-09,1.48398E-09,1294.134026,0.025756046
2,3,0.125,0.5,6.85485E+11,8.75152E+11,9.57E-10,1.95078E-09,9.93783E-10,1051.222111,0.01638742
2,3,0.125,1,1.05097E+12,1.14891E+12,9.76874E-10,1.53175E-09,5.54876E-10,733.1739235,0.007201405
2,3,0.25,0.00390625,10699353540,2.37552E+11,1.5094E-09,3.47706E-09,1.96767E-09,809.8327799,0.010219275
2,3,0.25,0.0078125,21163024241,3.07674E+11,1.5085E-09,3.45002E-09,1.94151E-09,1029.554822,0.013179147
2,3,0.25,0.015625,41495869444,3.72655E+11,1.50661E-09,3.39854E-09,1.89193E-09,1203.966557,0.015761455
2,3,0.25,0.03125,80364652154,4.35342E+11,1.50301E-09,3.30456E-09,1.80155E-09,1317.826881,0.017796051
2,3,0.25,0.0625,1.5246E+11,5.09826E+11,1.49805E-09,3.14576E-09,1.64771E-09,1375.398859,0.019117603
2,3,0.25,0.125,2.79337E+11,6.03827E+11,1.48724E-09,2.88783E-09,1.40059E-09,1328.308048,0.018419991
2,3,0.25,0.25,4.86921E+11,7.38083E+11,1.46973E-09,2.51877E-09,1.04904E-09,1143.422934,0.014333452
2,3,0.25,0.5,7.90615E+11,9.39257E+11,1.44599E-09,2.08765E-09,6.41664E-10,817.6227535,0.007572792
2,3,0.25,1,1.16659E+12,1.22684E+12,1.42709E-09,1.72875E-09,3.01652E-10,456.0591617,0.002315578
2,3,0.5,0.00390625,15185293537,2.68476E+11,2.1146E-09,3.48523E-09,1.37063E-09,903.5880113,0.005665858
2,3,0.5,0.0078125,29895950692,3.39098E+11,2.11299E-09,3.45966E-09,1.34667E-09,1109.996821,0.0071149
2,3,0.5,0.015625,58215071913,4.05132E+11,2.10958E-09,3.41141E-09,1.30183E-09,1259.263251,0.008349155
2,3,0.5,0.03125,1.11445E+11,4.70724E+11,2.10372E-09,3.32388E-09,1.22017E-09,1330.181362,0.009215369
2,3,0.5,0.0625,2.07176E+11,5.52054E+11,2.09144E-09,3.17733E-09,1.08589E-09,1320.761139,0.00951859
2,3,0.5,0.125,3.68659E+11,6.61203E+11,2.06811E-09,2.94902E-09,8.80907E-10,1187.472065,0.008496995
2,3,0.5,0.25,6.16982E+11,8.17121E+11,2.02729E-09,2.63281E-09,6.05516E-10,900.5205482,0.005590595
2,3,0.5,0.5,9.50367E+11,1.04521E+12,1.96408E-09,2.27909E-09,3.15015E-10,515.5354635,0.002105504
2,3,0.5,1,1.32232E+12,1.34808E+12,1.88843E-09,1.99856E-09,1.10133E-10,197.1063368,0.00034438
2,3,1,0.00390625,24000968774,3.12455E+11,2.64496E-09,3.49353E-09,8.48575E-10,1028.090991,0.002575933
2,3,1,0.0078125,46902793533,3.81726E+11,2.64289E-09,3.46929E-09,8.26404E-10,1200.3586,0.003112372
2,3,1,0.015625,90292101195,4.47528E+11,2.63867E-09,3.42386E-09,7.85188E-10,1294.019814,0.003525415
2,3,1,0.03125,1.69051E+11,5.21566E+11,2.62941E-09,3.34518E-09,7.15767E-10,1300.224353,0.003761895
2,3,1,0.0625,3.04384E+11,6.1992E+11,2.61142E-09,3.21829E-09,6.06869E-10,1200.208709,0.003619356
2,3,1,0.125,5.17429E+11,7.54275E+11,2.5767E-09,3.02821E-09,4.51512E-10,950.8434616,0.002756448
2,3,1,0.25,8.14686E+11,9.45351E+11,2.51435E-09,2.77868E-09,2.6433E-10,578.4227426,0.001307494
2,3,1,0.5,1.16723E+12,1.21044E+12,2.41319E-09,2.51652E-09,1.03333E-10,229.3662888,0.000269933
2,3,1,1,1.50747E+12,1.51406E+12,2.27812E-09,2.30011E-09,2.19873E-11,48.28206285,1.55309E-05
2,5,0.03125,0.00390625,4291259522,1.59953E+11,4.75022E-10,3.47463E-09,2.99961E-09,553.7399596,0.015712533
2,5,0.03125,0.0078125,8541513187,2.21736E+11,4.74487E-10,3.45301E-09,2.97852E-09,761.6028934,0.021720944
2,5,0.03125,0.015625,16942649526,2.79591E+11,4.73991E-10,3.4096E-09,2.93561E-09,945.2611053,0.027170331
2,5,0.03125,0.03125,33430213210,3.26863E+11,4.74045E-10,3.32379E-09,2.84975E-09,1070.57679,0.031109596
2,5,0.03125,0.0625,65343667130,3.87863E+11,4.74483E-10,3.18615E-09,2.71167E-09,1204.787662,0.035432041
2,5,0.03125,0.125,1.25662E+11,4.58181E+11,4.74923E-10,2.95258E-09,2.47765E-09,1293.132539,0.038106806
2,5,0.03125,0.25,2.35585E+11,5.5183E+11,4.78053E-10,2.58969E-09,2.11164E-09,1316.448797,0.037331032
2,5,0.03125,0.5,4.23381E+11,6.87887E+11,4.86568E-10,2.09165E-09,1.60508E-09,1232.814897,0.030439597
2,5,0.03125,1,7.10492E+11,9.04301E+11,5.06652E-10,1.5827E-09,1.07605E-09,1071.264781,0.019879487
2,5,0.0625,0.00390625,4862717299,1.6819E+11,8.36962E-10,3.4783E-09,2.64134E-09,580.9447635,0.012836668
2,5,0.0625,0.0078125,9672888727,2.32347E+11,8.36338E-10,3.45773E-09,2.62139E-09,795.3039554,0.017682403
2,5,0.0625,0.015625,19168529212,2.92782E+11,8.3541E-10,3.41711E-09,2.5817E-09,984.4541565,0.022106672
2,5,0.0625,0.03125,37757479672,3.43993E+11,8.34903E-10,3.33809E-09,2.50319E-09,1116.757368,0.025432732
2,5,0.0625,0.0625,73571656282,4.06886E+11,8.33242E-10,3.20829E-09,2.37505E-09,1244.104034,0.028815452
2,5,0.0625,0.125,1.40892E+11,4.81409E+11,8.3191E-10,2.99057E-09,2.15866E-09,1322.475684,0.030831417
2,5,0.0625,0.25,2.62373E+11,5.76774E+11,8.31663E-10,2.64311E-09,1.81145E-09,1306.274084,0.029276419
2,5,0.0625,0.5,4.66416E+11,7.16885E+11,8.3233E-10,2.16704E-09,1.33471E-09,1165.307581,0.022412795
2,5,0.0625,1,7.72209E+11,9.41051E+11,8.43605E-10,1.68864E-09,8.45039E-10,937.6617509,0.01300778
2,5,0.125,0.00390625,6006455082,1.83109E+11,1.35335E-09,3.48397E-09,2.13061E-09,629.8186748,0.009127745
2,5,0.125,0.0078125,11931742535,2.5032E+11,1.35212E-09,3.46479E-09,2.11267E-09,851.1739356,0.012445369
2,5,0.125,0.015625,23581735183,3.13716E+11,1.35036E-09,3.4275E-09,2.07714E-09,1043.416758,0.015472808
2,5,0.125,0.03125,46280156959,3.69877E+11,1.34749E-09,3.35659E-09,2.0091E-09,1179.165118,0.017860199
