n,A,E,dd,d,hh,h,V
2,0.0,3,0.03125,5.86e-05,0.125,0.001875,-57.27678527
2,0.0,3,0.03125,0.000117,0.25,0.00375,-105.9580318
2,0.0,3,0.03125,0.000234,0.5,0.0075,-189.4339855
2,0.0,3,0.03125,0.000469,1.0,0.015,-324.842688
2,0.0,3,0.0625,3.66e-06,0.00390625,5.86e-05,-4.05660375
2,0.0,3,0.0625,7.32e-06,0.0078125,0.000117,-8.044891462
2,0.0,3,0.0625,1.46e-05,0.015625,0.000234,-15.86447139
2,0.0,3,0.0625,2.93e-05,0.03125,0.000469,-31.03649579
2,0.0,3,0.0625,5.86e-05,0.0625,0.000938,-59.77798972
2,0.0,3,0.0625,0.000117,0.125,0.001875,-112.6762056
2,0.0,3,0.0625,0.000234,0.25,0.00375,-205.8455036
2,0.0,3,0.0625,0.000469,0.5,0.0075,-358.5188557
2,0.0,3,0.0625,0.000938,1.0,0.015,-592.0664235
2,0.0,3,0.125,7.32e-06,0.00390625,5.86e-05,-8.104292777
2,0.0,3,0.125,1.46e-05,0.0078125,0.000117,-16.04881323
2,0.0,3,0.125,2.93e-05,0.015625,0.000234,-31.55972531
2,0.0,3,0.125,5.86e-05,0.03125,0.000469,-61.45325499
2,0.0,3,0.125,0.000117,0.0625,0.000938,-117.6511481
2,0.0,3,0.125,0.000234,0.125,0.001875,-219.0026455
2,0.0,3,0.125,0.000469,0.25,0.00375,-390.3221553
2,0.0,3,0.125,0.000938,0.5,0.0075,-656.0088003
2,0.0,3,0.125,0.001875,1.0,0.015,-1026.669149
2,0.0,3,0.25,1.46e-05,0.00390625,5.86e-05,-16.14956348
2,0.0,3,0.25,2.93e-05,0.0078125,0.000117,-31.92448902
2,0.0,3,0.25,5.86e-05,0.015625,0.000234,-62.5180315
2,0.0,3,0.25,0.000117,0.03125,0.000469,-120.7886204
2,0.0,3,0.25,0.000234,0.0625,0.000938,-228.3921564
2,0.0,3,0.25,0.000469,0.125,0.001875,-415.4404461
