A,E,dd,hh,n,d (m),h1 (m),es.V0_1-es.V0_2 (V)
0,3,1,0.015625,32,2.34375E-4,2.34375E-4,-175.36922198317774
0,3,1,0.03125,32,4.6875E-4,4.6875E-4,-304.06236945931255
0,3,1,0.0625,32,9.375E-4,9.375E-4,-519.0873757113357
0,3,1,0.125,32,0.001875,0.001875,-870.3139184594293
0,3,1,0.25,32,0.00375,0.00375,-1394.389497916535
0,3,1,0.5,32,0.0075,0.0075,-2050.5235533653695
0,3,1,1,32,0.015,0.015,-2663.4168742846114
0,5,0.03125,0.00390625,32,1.8310546875E-6,5.859375E-5,-1.9424155274456325
0,5,0.03125,0.0078125,32,3.662109375E-6,1.171875E-4,-3.773864027094854
0,5,0.03125,0.015625,32,7.32421875E-6,2.34375E-4,-7.339986886034628
0,5,0.03125,0.03125,32,1.46484375E-5,4.6875E-4,-14.049696834896288
0,5,0.03125,0.0625,32,2.9296875E-5,9.375E-4,-26.497626672132967
0,5,0.03125,0.125,32,5.859375E-5,0.001875,-49.46624690426834
0,5,0.03125,0.25,32,1.171875E-4,0.00375,-88.98755623455794
0,5,0.03125,0.5,32,2.34375E-4,0.0075,-152.91515096693556
0,5,0.03125,1,32,4.6875E-4,0.015,-249.77181049871405
0,5,0.0625,0.00390625,32,3.662109375E-6,5.859375E-5,-3.8474433872663525
0,5,0.0625,0.0078125,32,7.32421875E-6,1.171875E-4,-7.471695486595745
0,5,0.0625,0.015625,32,1.46484375E-5,2.34375E-4,-14.441360534030151
0,5,0.0625,0.03125,32,2.9296875E-5,4.6875E-4,-27.381049374466187
0,5,0.0625,0.0625,32,5.859375E-5,9.375E-4,-50.805813882417084
0,5,0.0625,0.125,32,1.171875E-4,0.001875,-92.00635491149669
0,5,0.0625,0.25,32,2.34375E-4,0.00375,-160.98651838720025
0,5,0.0625,0.5,32,4.6875E-4,0.0075,-269.01651411547414
0,5,0.0625,1,32,9.375E-4,0.015,-429.6915537225444
0,5,0.125,0.00390625,32,7.32421875E-6,5.859375E-5,-7.593518219960728
0,5,0.125,0.0078125,32,1.46484375E-5,1.171875E-4,-14.681508381333092
0,5,0.125,0.015625,32,2.9296875E-5,2.34375E-4,-27.840202283685667
0,5,0.125,0.03125,32,5.859375E-5,4.6875E-4,-52.018884454264224
0,5,0.125,0.0625,32,1.171875E-4,9.375E-4,-94.42558182039053
0,5,0.125,0.125,32,2.34375E-4,0.001875,-166.70915951288583
0,5,0.125,0.25,32,4.6875E-4,0.00375,-284.18691903275004
0,5,0.125,0.5,32,9.375E-4,0.0075,-465.8834955938607
0,5,0.125,1,32,0.001875,0.015,-732.1151483497412
0,5,0.25,0.00390625,32,1.46484375E-5,5.859375E-5,-14.888636128024899
0,5,0.25,0.0078125,32,2.9296875E-5,1.171875E-4,-28.511649125354122
0,5,0.25,0.015625,32,5.859375E-5,2.34375E-4,-53.26939805808741
0,5,0.25,0.03125,32,1.171875E-4,4.6875E-4,-96.55865301271683
0,5,0.25,0.0625,32,2.34375E-4,9.375E-4,-170.96680680961992
0,5,0.25,0.125,32,4.6875E-4,0.001875,-294.9816470223977
0,5,0.25,0.25,32,9.375E-4,0.00375,-494.39141863478477
0,5,0.25,0.5,32,0.001875,0.0075,-799.4160924995597
0,5,0.25,1,32,0.00375,0.015,-1217.6258428351023
0,5,0.5,0.00390625,32,2.9296875E-5,5.859375E-5,-28.827727852995906
0,5,0.5,0.0078125,32,5.859375E-5,1.171875E-4,-54.13658923090968
0,5,0.5,0.015625,32,1.171875E-4,2.34375E-4,-98.74147250029736
0,5,0.5,0.03125,32,2.34375E-4,4.6875E-4,-174.82729276227883
0,5,0.5,0.0625,32,4.6875E-4,9.375E-4,-302.7816871789106
0,5,0.5,0.125,32,9.375E-4,0.001875,-514.5063848293894
0,5,0.5,0.25,32,0.001875,0.00375,-852.3056770607388
0,5,0.5,0.5,32,0.00375,0.0075,-1339.210387352039
0,5,0.5,1,32,0.0075,0.015,-1918.0242504983103
0,5,1,0.00390625,32,5.859375E-5,5.859375E-5,-54.84528737074089
0,5,1,0.0078125,32,1.171875E-4,1.171875E-4,-100.16971529192018
0,5,1,0.015625,32,2.34375E-4,2.34375E-4,-178.1234652756083
0,5,1,0.03125,32,4.6875E-4,4.6875E-4,-309.38704749584133
0,5,1,0.0625,32,9.375E-4,9.375E-4,-528.8464838294219
0,5,1,0.125,32,0.001875,0.001875,-889.2310958687724
0,5,1,0.25,32,0.00375,0.00375,-1433.3036691117993
0,5,1,0.5,32,0.0075,0.0075,-2124.842097770702
0,5,1,1,32,0.015,0.015,-2775.456457187302
0,7,0.03125,0.00390625,32,1.8310546875E-6,5.859375E-5,-1.956975898201108
0,7,0.03125,0.0078125,32,3.662109375E-6,1.171875E-4,-3.8148767911723676
0,7,0.03125,0.015625,32,7.32421875E-6,2.34375E-4,-7.457950556043134
0,7,0.03125,0.03125,32,1.46484375E-5,4.6875E-4,-14.345511400007082
0,7,0.03125,0.0625,32,2.9296875E-5,9.375E-4,-27.159961168023045
0,7,0.03125,0.125,32,5.859375E-5,0.001875,-50.889715570483844
0,7,0.03125,0.25,32,1.171875E-4,0.00375,-91.94057614153454
0,7,0.03125,0.5,32,2.34375E-4,0.0075,-159.0633124956704
0,7,0.03125,1,32,4.6875E-4,0.015,-262.20414919414264
0,7,0.0625,0.00390625,32,3.662109375E-6,5.859375E-5,-3.873474344900437
0,7,0.0625,0.0078125,32,7.32421875E-6,1.171875E-4,-7.546396388362764
0,7,0.0625,0.015625,32,1.46484375E-5,2.34375E-4,-14.656807858403308
0,7,0.0625,0.03125,32,2.9296875E-5,4.6875E-4,-27.914292536340874
0,7,0.0625,0.0625,32,5.859375E-5,9.375E-4,-51.96320844686357
0,7,0.0625,0.125,32,1.171875E-4,0.001875,-94.32798128950313
0,7,0.0625,0.25,32,2.34375E-4,0.00375,-165.6809589245601
0,7,0.0625,0.5,32,4.6875E-4,0.0075,-278.8073466525906
0,7,0.0625,1,32,9.375E-4,0.015,-449.97956893750705
0,7,0.125,0.00390625,32,7.32421875E-6,5.859375E-5,-7.637919612120953
0,7,0.125,0.0078125,32,1.46484375E-5,1.171875E-4,-14.813740561091763
0,7,0.125,0.015625,32,2.9296875E-5,2.34375E-4,-28.19144881042891
0,7,0.125,0.03125,32,5.859375E-5,4.6875E-4,-52.8889360919395
0,7,0.125,0.0625,32,1.171875E-4,9.375E-4,-96.24221707346913
0,7,0.125,0.125,32,2.34375E-4,0.001875,-170.2391296564697
0,7,0.125,0.25,32,4.6875E-4,0.00375,-291.2858178646386
0,7,0.125,0.5,32,9.375E-4,0.0075,-481.26306026570063
0,7,0.125,1,32,0.001875,0.015,-764.3083591047705
0,7,0.25,0.00390625,32,1.46484375E-5,5.859375E-5,-14.962744347250464
0,7,0.25,0.0078125,32,2.9296875E-5,1.171875E-4,-28.737603928396723
0,7,0.25,0.015625,32,5.859375E-5,2.34375E-4,-53.85749523711466
0,7,0.25,0.03125,32,1.171875E-4,4.6875E-4,-97.86322740340128
0,7,0.25,0.0625,32,2.34375E-4,9.375E-4,-173.58044081434286
0,7,0.25,0.125,32,4.6875E-4,0.001875,-299.98706918185536
0,7,0.25,0.25,32,9.375E-4,0.00375,-504.9046932753183
0,7,0.25,0.5,32,0.001875,0.0075,-822.8266811939387
0,7,0.25,1,32,0.00375,0.015,-1264.735585196739
0,7,0.5,0.00390625,32,2.9296875E-5,5.859375E-5,-28.949733385050763
0,7,0.5,0.0078125,32,5.859375E-5,1.171875E-4,-54.480135779090325
0,7,0.5,0.015625,32,1.171875E-4,2.34375E-4,-99.58325860871896
0,7,0.5,0.03125,32,2.34375E-4,4.6875E-4,-176.61835789040583
0,7,0.5,0.0625,32,4.6875E-4,9.375E-4,-306.2385077322425
0,7,0.5,0.125,32,9.375E-4,0.001875,-521.3649255400634
0,7,0.5,0.25,32,0.001875,0.00375,-867.3595017742791
0,7,0.5,0.5,32,0.00375,0.0075,-1371.95133460552
0,7,0.5,1,32,0.0075,0.015,-1978.792439689827
0,7,1,0.00390625,32,5.859375E-5,5.859375E-5,-55.04073296355443
0,7,1,0.0078125,32,1.171875E-4,1.171875E-4,-100.63956756978831
0,7,1,0.015625,32,2.34375E-4,2.34375E-4,-179.19974580182338
0,7,1,0.03125,32,4.6875E-4,4.6875E-4,-311.59579012825475
0,7,1,0.0625,32,9.375E-4,9.375E-4,-533.2075135960084
0,7,1,0.125,32,0.001875,0.001875,-898.2771830654775
0,7,1,0.25,32,0.00375,0.00375,-1452.9933494049378
0,7,1,0.5,32,0.0075,0.0075,-2165.195257791316
0,7,1,1,32,0.015,0.015,-2843.1718223054345
0,10,0.03125,0.00390625,32,1.8310546875E-6,5.859375E-5,-1.9672695804066507
0,10,0.03125,0.0078125,32,3.662109375E-6,1.171875E-4,-3.843421776834847
0,10,0.03125,0.015625,32,7.32421875E-6,2.34375E-4,-7.543694934792894
0,10,0.03125,0.03125,32,1.46484375E-5,4.6875E-4,-14.565474285708602
0,10,0.03125,0.0625,32,2.9296875E-5,9.375E-4,-27.658165569699676
0,10,0.03125,0.125,32,5.859375E-5,0.001875,-51.996336757192246
0,10,0.03125,0.25,32,1.171875E-4,0.00375,-94.31563539340141
0,10,0.03125,0.5,32,2.34375E-4,0.0075,-164.2652770594725
0,10,0.03125,1,32,4.6875E-4,0.015,-273.4657814923701
0,10,0.0625,0.00390625,32,3.662109375E-6,5.859375E-5,-3.8907558330455814
0,10,0.0625,0.0078125,32,7.32421875E-6,1.171875E-4,-7.5971233637907645
0,10,0.0625,0.015625,32,1.46484375E-5,2.34375E-4,-14.812156240321478
0,10,0.0625,0.03125,32,2.9296875E-5,4.6875E-4,-28.310105086072276
0,10,0.0625,0.0625,32,5.859375E-5,9.375E-4,-52.83626233682746
0,10,0.0625,0.125,32,1.171875E-4,0.001875,-96.12415878091181
0,10,0.0625,0.25,32,2.34375E-4,0.00375,-169.4737464172773
0,10,0.0625,0.5,32,4.6875E-4,0.0075,-287.1815893054482
0,10,0.0625,1,32,9.375E-4,0.015,-468.5540502534674
0,10,0.125,0.00390625,32,7.32421875E-6,5.859375E-5,-7.665706342541924
0,10,0.125,0.0078125,32,1.46484375E-5,1.171875E-4,-14.902640196037057
0,10,0.125,0.015625,32,2.9296875E-5,2.34375E-4,-28.4344648206183
0,10,0.125,0.03125,32,5.859375E-5,4.6875E-4,-53.52244105540629
0,10,0.125,0.0625,32,1.171875E-4,9.375E-4,-97.5987801775717
0,10,0.125,0.125,32,2.34375E-4,0.001875,-172.97649042002078
0,10,0.125,0.25,32,4.6875E-4,0.00375,-297.0780689127198
0,10,0.125,0.5,32,9.375E-4,0.0075,-494.5413433178753
0,10,0.125,1,32,0.001875,0.015,-793.9045361963524
0,10,0.25,0.00390625,32,1.46484375E-5,5.859375E-5,-15.008452893072302
0,10,0.25,0.0078125,32,2.9296875E-5,1.171875E-4,-28.8904122839917
0,10,0.25,0.015625,32,5.859375E-5,2.34375E-4,-54.26960068578798
0,10,0.25,0.03125,32,1.171875E-4,4.6875E-4,-98.79992393922238
0,10,0.25,0.0625,32,2.34375E-4,9.375E-4,-175.5314153023433
0,10,0.25,0.125,32,4.6875E-4,0.001875,-303.902805904695
0,10,0.25,0.25,32,9.375E-4,0.00375,-513.5604255970352
0,10,0.25,0.5,32,0.001875,0.0075,-843.0718285885637
0,10,0.25,1,32,0.00375,0.015,-1308.0874400899015
0,10,0.5,0.00390625,32,2.9296875E-5,5.859375E-5,-29.026794479153068
0,10,0.5,0.0078125,32,5.859375E-5,1.171875E-4,-54.708938044043165
0,10,0.5,0.015625,32,1.171875E-4,2.34375E-4,-100.16339291999967
0,10,0.5,0.03125,32,2.34375E-4,4.6875E-4,-177.90076766309346
0,10,0.5,0.0625,32,4.6875E-4,9.375E-4,-308.8338744923284
0,10,0.5,0.125,32,9.375E-4,0.001875,-526.7767691878805
0,10,0.5,0.25,32,0.001875,0.00375,-879.7603195964919
0,10,0.5,0.5,32,0.00375,0.0075,-1400.1396387078169
0,10,0.5,1,32,0.0075,0.015,-2034.9581763630592
0,10,1,0.00390625,32,5.859375E-5,5.859375E-5,-55.16907887435855
0,10,1,0.0078125,32,1.171875E-4,1.171875E-4,-100.9458202170456
0,10,1,0.015625,32,2.34375E-4,2.34375E-4,-179.93289811946235
0,10,1,0.03125,32,4.6875E-4,4.6875E-4,-313.17572570475716
0,10,1,0.0625,32,9.375E-4,9.375E-4,-536.4996870178173
0,10,1,0.125,32,0.001875,0.001875,-905.4091993875638
0,10,1,0.25,32,0.00375,0.00375,-1469.0551552373745
0,10,1,0.5,32,0.0075,0.0075,-2199.8452960672034
0,10,1,1,32,0.015,0.015,-2906.3495155662104
0.25,1,0.03125,0.00390625,32,1.8310546875E-6,5.859375E-5,12.493957968536279
0.25,1,0.03125,0.0078125,32,3.662109375E-6,1.171875E-4,23.07677200976689
0.25,1,0.03125,0.015625,32,7.32421875E-6,2.34375E-4,41.312103353715116
0.25,1,0.03125,0.03125,32,1.46484375E-5,4.6875E-4,72.04698240950995
0.25,1,0.03125,0.0625,32,2.9296875E-5,9.375E-4,123.93625164966542
0.25,1,0.03125,0.125,32,5.859375E-5,0.001875,210.54820034294522
0.25,1,0.03125,0.25,32,1.171875E-4,0.00375,348.97655161776424
0.25,1,0.03125,0.5,32,2.34375E-4,0.0075,544.9413468386921
0.25,1,0.03125,1,32,4.6875E-4,0.015,769.6672001721959
0.25,1,0.0625,0.00390625,32,3.662109375E-6,5.859375E-5,11.148983226027326
0.25,1,0.0625,0.0078125,32,7.32421875E-6,1.171875E-4,20.530131418141846
0.25,1,0.0625,0.015625,32,1.46484375E-5,2.34375E-4,36.63428112838429
0.25,1,0.0625,0.03125,32,2.9296875E-5,4.6875E-4,63.48486783013836
0.25,1,0.0625,0.0625,32,5.859375E-5,9.375E-4,108.3268464653512
0.25,1,0.0625,0.125,32,1.171875E-4,0.001875,182.47335773374675
0.25,1,0.0625,0.25,32,2.34375E-4,0.00375,299.8586387619803
0.25,1,0.0625,0.5,32,4.6875E-4,0.0075,463.8050492065943
0.25,1,0.0625,1,32,9.375E-4,0.015,641.73166059555
0.25,1,0.125,0.00390625,32,7.32421875E-6,5.859375E-5,8.503291491247865
0.25,1,0.125,0.0078125,32,1.46484375E-5,1.171875E-4,15.55434551405469
0.25,1,0.125,0.015625,32,2.9296875E-5,2.34375E-4,27.592497644869464
