n,A,E,dd,d,hh,h,V
2,0,5,0.5,0.001875,0.25,0.00375,-1300.805524
2,0,5,0.5,0.00375,0.5,0.0075,-1963.060064
2,0,5,0.5,0.0075,1,0.015,-2642.33286
2,0,5,1,5.86E-05,0.00390625,5.86E-05,-63.62738242
2,0,5,1,1.17E-04,0.0078125,1.17E-04,-124.4532134
2,0,5,1,2.34E-04,0.015625,2.34E-04,-239.7902253
2,0,5,1,4.69E-04,0.03125,4.69E-04,-449.0830951
2,0,5,1,9.38E-04,0.0625,9.38E-04,-807.2158336
2,0,5,1,0.001875,0.125,0.001875,-1362.929286
2,0,5,1,0.00375,0.25,0.00375,-2110.809367
2,0,5,1,0.0075,0.5,0.0075,-2926.623205
2,0,5,1,0.015,1,0.015,-3586.778555
2,0,7,0.03125,1.83E-06,0.00390625,5.86E-05,-2.041176376
2,0,7,0.03125,3.66E-06,0.0078125,1.17E-04,-4.062418668
2,0,7,0.03125,7.32E-06,0.015625,2.34E-04,-8.062745584
2,0,7,0.03125,1.46E-05,0.03125,4.69E-04,-15.95399339
2,0,7,0.03125,2.93E-05,0.0625,9.38E-04,-31.35162569
2,0,7,0.03125,5.86E-05,0.125,0.001875,-60.75077775
2,0,7,0.03125,1.17E-04,0.25,0.00375,-115.7353602
2,0,7,0.03125,2.34E-04,0.5,0.0075,-214.2656917
2,0,7,0.03125,4.69E-04,1,0.015,-379.0222842
2,0,7,0.0625,3.66E-06,0.00390625,5.86E-05,-4.075024269
2,0,7,0.0625,7.32E-06,0.0078125,1.17E-04,-8.107643771
2,0,7,0.0625,1.46E-05,0.015625,2.34E-04,-16.07346873
2,0,7,0.0625,2.93E-05,0.03125,4.69E-04,-31.72661181
2,0,7,0.0625,5.86E-05,0.0625,9.38E-04,-61.953263
2,0,7,0.0625,1.17E-04,0.125,0.001875,-119.216044
2,0,7,0.0625,2.34E-04,0.25,0.00375,-223.9514393
2,0,7,0.0625,4.69E-04,0.5,0.0075,-402.9466565
2,0,7,0.0625,9.38E-04,1,0.015,-683.6444734
2,0,7,0.125,7.32E-06,0.00390625,5.86E-05,-8.138039511
2,0,7,0.125,1.46E-05,0.0078125,1.17E-04,-16.1658269
2,0,7,0.125,2.93E-05,0.015625,2.34E-04,-31.95589023
2,0,7,0.125,5.86E-05,0.03125,4.69E-04,-62.73382782
2,0,7,0.125,1.17E-04,0.0625,9.38E-04,-121.6881977
2,0,7,0.125,2.34E-04,0.125,0.001875,-230.8804901
2,0,7,0.125,4.69E-04,0.25,0.00375,-422.0225052
2,0,7,0.125,9.38E-04,0.5,0.0075,-729.6407857
2,0,7,0.125,0.001875,1,0.015,-1167.28741
2,0,7,0.25,1.46E-05,0.00390625,5.86E-05,-16.21115563
2,0,7,0.25,2.93E-05,0.0078125,1.17E-04,-32.14211758
2,0,7,0.25,5.86E-05,0.015625,2.34E-04,-63.23702477
2,0,7,0.25,1.17E-04,0.03125,4.69E-04,-123.0857792
2,0,7,0.25,2.34E-04,0.0625,9.38E-04,-235.5274309
2,0,7,0.25,4.69E-04,0.125,0.001875,-435.5831788
2,0,7,0.25,9.38E-04,0.25,0.00375,-766.4519469
2,0,7,0.25,0.001875,0.5,0.0075,-1253.199307
2,0,7,0.25,0.00375,1,0.015,-1855.740961
2,0,7,0.5,2.93E-05,0.00390625,5.86E-05,-32.22188726
2,0,7,0.5,5.86E-05,0.0078125,1.17E-04,-63.55953395
2,0,7,0.5,1.17E-04,0.015625,2.34E-04,-124.0727997
2,0,7,0.5,2.34E-04,0.03125,4.69E-04,-238.4406343
2,0,7,0.5,4.69E-04,0.0625,9.38E-04,-445.0212546
2,0,7,0.5,9.38E-04,0.125,0.001875,-793.4684827
2,0,7,0.5,0.001875,0.25,0.00375,-1323.408771
2,0,7,0.5,0.00375,0.5,0.0075,-2010.753297
2,0,7,0.5,0.0075,1,0.015,-2723.608532
2,0,7,1,5.86E-05,0.00390625,5.86E-05,-63.68162711
2,0,7,1,1.17E-04,0.0078125,1.17E-04,-124.6433815
2,0,7,1,2.34E-04,0.015625,2.34E-04,-240.3891089
2,0,7,1,4.69E-04,0.03125,4.69E-04,-450.8982006
2,0,7,1,9.38E-04,0.0625,9.38E-04,-812.2200922
2,0,7,1,0.001875,0.125,0.001875,-1375.400554
2,0,7,1,0.00375,0.25,0.00375,-2138.860313
2,0,7,1,0.0075,0.5,0.0075,-2981.198557
2,0,7,1,0.015,1,0.015,-3673.579927
2,0,10,0.03125,1.83E-06,0.00390625,5.86E-05,-2.043020467
2,0,10,0.03125,3.66E-06,0.0078125,1.17E-04,-4.069054181
2,0,10,0.03125,7.32E-06,0.015625,2.34E-04,-8.085073316
2,0,10,0.03125,1.46E-05,0.03125,4.69E-04,-16.03047748
2,0,10,0.03125,2.93E-05,0.0625,9.38E-04,-31.60796894
2,0,10,0.03125,5.86E-05,0.125,0.001875,-61.5586992
2,0,10,0.03125,1.17E-04,0.25,0.00375,-118.1601754
2,0,10,0.03125,2.34E-04,0.5,0.0075,-220.9864629
2,0,10,0.03125,4.69E-04,1,0.015,-395.48915
2,0,10,0.0625,3.66E-06,0.00390625,5.86E-05,-4.078210434
2,0,10,0.0625,7.32E-06,0.0078125,1.17E-04,-8.119434077
2,0,10,0.0625,1.46E-05,0.015625,2.34E-04,-16.11388894
2,0,10,0.0625,2.93E-05,0.03125,4.69E-04,-31.87098447
2,0,10,0.0625,5.86E-05,0.0625,9.38E-04,-62.42709416
2,0,10,0.0625,1.17E-04,0.125,0.001875,-120.7226361
2,0,10,0.0625,2.34E-04,0.25,0.00375,-228.4096271
2,0,10,0.0625,4.69E-04,0.5,0.0075,-414.8890567
2,0,10,0.0625,9.38E-04,1,0.015,-711.5137716
2,0,10,0.125,7.32E-06,0.00390625,5.86E-05,-8.143637035
2,0,10,0.125,1.46E-05,0.0078125,1.17E-04,-16.18701289
2,0,10,0.125,2.93E-05,0.015625,2.34E-04,-32.03062074
2,0,10,0.125,5.86E-05,0.03125,4.69E-04,-62.99519816
2,0,10,0.125,1.17E-04,0.0625,9.38E-04,-122.5622636
2,0,10,0.125,2.34E-04,0.125,0.001875,-233.5912214
2,0,10,0.125,4.69E-04,0.25,0.00375,-429.7307161
2,0,10,0.125,9.38E-04,0.5,0.0075,-749.3276194
2,0,10,0.125,0.001875,1,0.015,-1210.427751
2,0,10,0.25,1.46E-05,0.00390625,5.86E-05,-16.22100214
2,0,10,0.25,2.93E-05,0.0078125,1.17E-04,-32.18206558
2,0,10,0.25,5.86E-05,0.015625,2.34E-04,-63.37270655
2,0,10,0.25,1.17E-04,0.03125,4.69E-04,-123.5469475
2,0,10,0.25,2.34E-04,0.0625,9.38E-04,-237.050992
2,0,10,0.25,4.69E-04,0.125,0.001875,-440.0901349
2,0,10,0.25,9.38E-04,0.25,0.00375,-778.6381469
2,0,10,0.25,0.001875,0.5,0.0075,-1282.606153
2,0,10,0.25,0.00375,1,0.015,-1915.212085
2,0,10,0.5,2.93E-05,0.00390625,5.86E-05,-32.24078314
2,0,10,0.5,5.86E-05,0.0078125,1.17E-04,-63.63153021
2,0,10,0.5,1.17E-04,0.015625,2.34E-04,-124.3129573
2,0,10,0.5,2.34E-04,0.03125,4.69E-04,-239.2434247
2,0,10,0.5,4.69E-04,0.0625,9.38E-04,-447.476151
2,0,10,0.5,9.38E-04,0.125,0.001875,-800.2806462
2,0,10,0.5,0.001875,0.25,0.00375,-1340.662919
2,0,10,0.5,0.00375,0.5,0.0075,-2049.468083
2,0,10,0.5,0.0075,1,0.015,-2795.564183
2,0,10,1,5.86E-05,0.00390625,5.86E-05,-63.71740369
2,0,10,1,1.17E-04,0.0078125,1.17E-04,-124.7727078
2,0,10,1,2.34E-04,0.015625,2.34E-04,-240.7998476
2,0,10,1,4.69E-04,0.03125,4.69E-04,-452.1631043
2,0,10,1,9.38E-04,0.0625,9.38E-04,-815.7642979
2,0,10,1,0.001875,0.125,0.001875,-1384.456002
2,0,10,1,0.00375,0.25,0.00375,-2160.203191
2,0,10,1,0.0075,0.5,0.0075,-3025.616777
2,0,10,1,0.015,1,0.015,-3751.217484
2,0.25,1,0.03125,1.83E-06,0.00390625,5.86E-05,14.44809344
2,0.25,1,0.03125,3.66E-06,0.0078125,1.17E-04,28.32463923
2,0.25,1,0.03125,7.32E-06,0.015625,2.34E-04,54.71658591
2,0.25,1,0.03125,1.46E-05,0.03125,4.69E-04,103.4132669
2,0.25,1,0.03125,2.93E-05,0.0625,9.38E-04,188.8296351
2,0.25,1,0.03125,5.86E-05,0.125,0.001875,327.3005174
2,0.25,1,0.03125,1.17E-04,0.25,0.00375,529.0627212
2,0.25,1,0.03125,2.34E-04,0.5,0.0075,779.189
2,0.25,1,0.03125,4.69E-04,1,0.015,1019.8956
2,0.25,1,0.0625,3.66E-06,0.00390625,5.86E-05,12.93721685
2,0.25,1,0.0625,7.32E-06,0.0078125,1.17E-04,25.34025908
2,0.25,1,0.0625,1.46E-05,0.015625,2.34E-04,48.93557296
2,0.25,1,0.0625,2.93E-05,0.03125,4.69E-04,92.29152875
2,0.25,1,0.0625,5.86E-05,0.0625,9.38E-04,167.9875899
2,0.25,1,0.0625,1.17E-04,0.125,0.001875,289.4399607
2,0.25,1,0.0625,2.34E-04,0.25,0.00375,462.0063746
2,0.25,1,0.0625,4.69E-04,0.5,0.0075,664.2664698
2,0.25,1,0.0625,9.38E-04,1,0.015,829.2128368
2,0.25,1,0.125,7.32E-06,0.00390625,5.86E-05,9.941156813
2,0.25,1,0.125,1.46E-05,0.0078125,1.17E-04,19.45682738
2,0.25,1,0.125,2.93E-05,0.015625,2.34E-04,37.42258821
2,0.25,1,0.125,5.86E-05,0.03125,4.69E-04,70.3482362
2,0.25,1,0.125,1.17E-04,0.0625,9.38E-04,127.0937471
2,0.25,1,0.125,2.34E-04,0.125,0.001875,215.773816
2,0.25,1,0.125,4.69E-04,0.25,0.00375,334.8353093
2,0.25,1,0.125,9.38E-04,0.5,0.0075,455.3129752
2,0.25,1,0.125,0.001875,1,0.015,501.8241269
2,0.25,1,0.25,1.46E-05,0.00390625,5.86E-05,3.956249208
2,0.25,1,0.25,2.93E-05,0.0078125,1.17E-04,7.726596005
2,0.25,1,0.25,5.86E-05,0.015625,2.34E-04,14.75982819
2,0.25,1,0.25,1.17E-04,0.03125,4.69E-04,27.37318052
2,0.25,1,0.25,2.34E-04,0.0625,9.38E-04,48.04819978
2,0.25,1,0.25,4.69E-04,0.125,0.001875,76.79417256
2,0.25,1,0.25,9.38E-04,0.25,0.00375,104.0028699
2,0.25,1,0.25,0.001875,0.5,0.0075,96.71712983
2,0.25,1,0.25,0.00375,1,0.015,-12.16046272
2,0.25,1,0.5,2.93E-05,0.00390625,5.86E-05,-7.917454866
2,0.25,1,0.5,5.86E-05,0.0078125,1.17E-04,-15.42860243
2,0.25,1,0.5,1.17E-04,0.015625,2.34E-04,-29.58289661
2,0.25,1,0.5,2.34E-04,0.03125,4.69E-04,-55.51801603
2,0.25,1,0.5,4.69E-04,0.0625,9.38E-04,-100.464939
2,0.25,1,0.5,9.38E-04,0.125,0.001875,-174.4971469
2,0.25,1,0.5,0.001875,0.25,0.00375,-290.7338725
2,0.25,1,0.5,0.00375,0.5,0.0075,-466.381366
