n,A,E,dd,d,hh,h,V
2,0.0,2,1.0,0.000234375,0.015625,0.000234375,-1560.2192255498026
2,0.0,2,1.0,0.00046875,0.03125,0.00046875,-1767.4982353254825
2,0.0,2,1.0,0.0009375,0.0625,0.0009375,-2004.5998360513852
2,0.0,2,1.0,0.001875,0.125,0.001875,-2265.8932299635044
2,0.0,2,1.0,0.00375,0.25,0.00375,-2565.5914524500727
2,0.0,2,1.0,0.0075,0.5,0.0075,-2939.1416127055936
2,0.0,2,1.0,0.015,1.0,0.015,-3352.0627970503406
2,0.0,3,0.03125,1.8310546875e-06,0.00390625,5.859375e-05,-696.8970583133569
2,0.0,3,0.03125,3.662109375e-06,0.0078125,0.0001171875,-917.684858676698
2,0.0,3,0.03125,7.32421875e-06,0.015625,0.000234375,-1109.8922887876342
2,0.0,3,0.03125,1.46484375e-05,0.03125,0.00046875,-1245.3273699707463
2,0.0,3,0.03125,2.9296875e-05,0.0625,0.0009375,-1383.058611057509
2,0.0,3,0.03125,5.859375e-05,0.125,0.001875,-1479.4922764500734
2,0.0,3,0.03125,0.0001171875,0.25,0.00375,-1513.8512609314414
2,0.0,3,0.03125,0.000234375,0.5,0.0075,-1471.0977757141318
2,0.0,3,0.03125,0.00046875,1.0,0.015,-1418.326577903881
2,0.0,3,0.0625,3.662109375e-06,0.00390625,5.859375e-05,-717.0866783600725
2,0.0,3,0.0625,7.32421875e-06,0.0078125,0.0001171875,-942.7491729633466
2,0.0,3,0.0625,1.46484375e-05,0.015625,0.000234375,-1138.7619955021823
2,0.0,3,0.0625,2.9296875e-05,0.03125,0.00046875,-1283.5256422740276
2,0.0,3,0.0625,5.859375e-05,0.0625,0.0009375,-1427.0266600744876
2,0.0,3,0.0625,0.0001171875,0.125,0.001875,-1538.0092435620973
2,0.0,3,0.0625,0.000234375,0.25,0.00375,-1582.931511492818
2,0.0,3,0.0625,0.00046875,0.5,0.0075,-1558.6427800253743
2,0.0,3,0.0625,0.0009375,1.0,0.015,-1544.2125555297998
2,0.0,3,0.125,7.32421875e-06,0.00390625,5.859375e-05,-754.549626010656
2,0.0,3,0.125,1.46484375e-05,0.0078125,0.0001171875,-985.9915533915516
2,0.0,3,0.125,2.9296875e-05,0.015625,0.000234375,-1188.2224988211392
2,0.0,3,0.125,5.859375e-05,0.03125,0.00046875,-1347.1481702349497
2,0.0,3,0.125,0.0001171875,0.0625,0.0009375,-1499.6769841565283
2,0.0,3,0.125,0.000234375,0.125,0.001875,-1621.374298101768
2,0.0,3,0.125,0.00046875,0.25,0.00375,-1684.4561815550414
2,0.0,3,0.125,0.0009375,0.5,0.0075,-1707.230910942838
2,0.0,3,0.125,0.001875,1.0,0.015,-1759.843072563884
2,0.0,3,0.25,1.46484375e-05,0.00390625,5.859375e-05,-825.9823434143598
2,0.0,3,0.25,2.9296875e-05,0.0078125,0.0001171875,-1061.4793114324566
2,0.0,3,0.25,5.859375e-05,0.015625,0.000234375,-1266.4845887937472
2,0.0,3,0.25,0.0001171875,0.03125,0.00046875,-1438.6155010590471
2,0.0,3,0.25,0.000234375,0.0625,0.0009375,-1603.791015299738
2,0.0,3,0.25,0.00046875,0.125,0.001875,-1743.748493716202
2,0.0,3,0.25,0.0009375,0.25,0.00375,-1859.063972598948
2,0.0,3,0.25,0.001875,0.5,0.0075,-1960.8412347259505
2,0.0,3,0.25,0.00375,1.0,0.015,-2120.897168676456
2,0.0,3,0.5,2.9296875e-05,0.00390625,5.859375e-05,-935.6987904253324
2,0.0,3,0.5,5.859375e-05,0.0078125,0.0001171875,-1173.1667747999586
2,0.0,3,0.5,0.0001171875,0.015625,0.000234375,-1382.072663889453
2,0.0,3,0.5,0.000234375,0.03125,0.00046875,-1564.6305565015996
2,0.0,3,0.5,0.00046875,0.0625,0.0009375,-1754.0584990326147
2,0.0,3,0.5,0.0009375,0.125,0.001875,-1949.898646238984
2,0.0,3,0.5,0.001875,0.25,0.00375,-2151.323381162214
2,0.0,3,0.5,0.00375,0.5,0.0075,-2382.1276562911203
2,0.0,3,0.5,0.0075,1.0,0.015,-2694.2130199252715
2,0.0,3,1.0,5.859375e-05,0.00390625,5.859375e-05,-1091.5725713710535
2,0.0,3,1.0,0.0001171875,0.0078125,0.0001171875,-1324.3173012274003
2,0.0,3,1.0,0.000234375,0.015625,0.000234375,-1532.2708233808908
2,0.0,3,1.0,0.00046875,0.03125,0.00046875,-1744.7301498278784
2,0.0,3,1.0,0.0009375,0.0625,0.0009375,-1995.0845958531936
2,0.0,3,1.0,0.001875,0.125,0.001875,-2284.104448497628
2,0.0,3,1.0,0.00375,0.25,0.00375,-2626.8261617118465
2,0.0,3,1.0,0.0075,0.5,0.0075,-3046.102663859702
2,0.0,3,1.0,0.015,1.0,0.015,-3482.494457091134
2,0.0,5,0.03125,1.8310546875e-06,0.00390625,5.859375e-05,-555.7784004035859
2,0.0,5,0.03125,3.662109375e-06,0.0078125,0.0001171875,-765.6557263153029
2,0.0,5,0.03125,7.32421875e-06,0.015625,0.000234375,-953.2917759571176
2,0.0,5,0.03125,1.46484375e-05,0.03125,0.00046875,-1086.424208745037
2,0.0,5,0.03125,2.9296875e-05,0.0625,0.0009375,-1235.7921530864148
2,0.0,5,0.03125,5.859375e-05,0.125,0.001875,-1352.8123832249858
2,0.0,5,0.03125,0.0001171875,0.25,0.00375,-1429.071070004926
2,0.0,5,0.03125,0.000234375,0.5,0.0075,-1438.8182197439914
2,0.0,5,0.03125,0.00046875,1.0,0.015,-1431.2366627240242
2,0.0,5,0.0625,3.662109375e-06,0.00390625,5.859375e-05,-585.0146720537869
2,0.0,5,0.0625,7.32421875e-06,0.0078125,0.0001171875,-803.3937604978825
2,0.0,5,0.0625,1.46484375e-05,0.015625,0.000234375,-1000.46773082097
2,0.0,5,0.0625,2.9296875e-05,0.03125,0.00046875,-1148.281202480992
2,0.0,5,0.0625,5.859375e-05,0.0625,0.0009375,-1305.4070571164002
2,0.0,5,0.0625,0.0001171875,0.125,0.001875,-1439.6850888610725
2,0.0,5,0.0625,0.000234375,0.25,0.00375,-1524.480219764939
2,0.0,5,0.0625,0.00046875,0.5,0.0075,-1553.519748827435
2,0.0,5,0.0625,0.0009375,1.0,0.015,-1589.101009333208
2,0.0,5,0.125,7.32421875e-06,0.00390625,5.859375e-05,-637.947540085448
2,0.0,5,0.125,1.46484375e-05,0.0078125,0.0001171875,-867.3070957539608
2,0.0,5,0.125,2.9296875e-05,0.015625,0.000234375,-1075.260639671044
2,0.0,5,0.125,5.859375e-05,0.03125,0.00046875,-1241.5273207660323
2,0.0,5,0.125,0.0001171875,0.0625,0.0009375,-1407.1907949564063
2,0.0,5,0.125,0.000234375,0.125,0.001875,-1550.5180016616632
2,0.0,5,0.125,0.00046875,0.25,0.00375,-1653.303060901692
2,0.0,5,0.125,0.0009375,0.5,0.0075,-1733.0843701599672
2,0.0,5,0.125,0.001875,1.0,0.015,-1840.6017876347375
2,0.0,5,0.25,1.46484375e-05,0.00390625,5.859375e-05,-731.0574915875623
2,0.0,5,0.25,2.9296875e-05,0.0078125,0.0001171875,-970.4272305337312
2,0.0,5,0.25,5.859375e-05,0.015625,0.000234375,-1184.1122193563192
2,0.0,5,0.25,0.0001171875,0.03125,0.00046875,-1363.6870650046933
2,0.0,5,0.25,0.000234375,0.0625,0.0009375,-1539.00586699535
2,0.0,5,0.25,0.00046875,0.125,0.001875,-1699.6105232039174
2,0.0,5,0.25,0.0009375,0.25,0.00375,-1857.305309686195
2,0.0,5,0.25,0.001875,0.5,0.0075,-2019.2988532198583
2,0.0,5,0.25,0.00375,1.0,0.015,-2236.3494355386547
2,0.0,5,0.5,2.9296875e-05,0.00390625,5.859375e-05,-869.0471255265809
2,0.0,5,0.5,5.859375e-05,0.0078125,0.0001171875,-1112.4534139965383
2,0.0,5,0.5,0.0001171875,0.015625,0.000234375,-1328.7274481477775
2,0.0,5,0.5,0.000234375,0.03125,0.00046875,-1515.4365679053344
2,0.0,5,0.5,0.00046875,0.0625,0.0009375,-1713.662411135398
2,0.0,5,0.5,0.0009375,0.125,0.001875,-1932.471798713768
2,0.0,5,0.5,0.001875,0.25,0.00375,-2178.2824234071254
2,0.0,5,0.5,0.00375,0.5,0.0075,-2469.490921595358
2,0.0,5,0.5,0.0075,1.0,0.015,-2835.2475151798017
2,0.0,5,1.0,5.859375e-05,0.00390625,5.859375e-05,-1051.6156463377488
2,0.0,5,1.0,0.0001171875,0.0078125,0.0001171875,-1289.2451870457217
2,0.0,5,1.0,0.000234375,0.015625,0.000234375,-1499.7736208273209
2,0.0,5,1.0,0.00046875,0.03125,0.00046875,-1715.636088478591
2,0.0,5,1.0,0.0009375,0.0625,0.0009375,-1976.5250735128443
2,0.0,5,1.0,0.001875,0.125,0.001875,-2290.2960856527134
2,0.0,5,1.0,0.00375,0.25,0.00375,-2677.0073225340493
2,0.0,5,1.0,0.0075,0.5,0.0075,-3152.0841752038705
2,0.0,5,1.0,0.015,1.0,0.015,-3634.17803564733
2,0.0,7,0.03125,1.8310546875e-06,0.00390625,5.859375e-05,-467.2498097442259
2,0.0,7,0.03125,3.662109375e-06,0.0078125,0.0001171875,-663.8421063492091
2,0.0,7,0.03125,7.32421875e-06,0.015625,0.000234375,-845.9786065677865
2,0.0,7,0.03125,1.46484375e-05,0.03125,0.00046875,-978.8556200851964
2,0.0,7,0.03125,2.9296875e-05,0.0625,0.0009375,-1136.3372626531493
2,0.0,7,0.03125,5.859375e-05,0.125,0.001875,-1265.7802665855834
2,0.0,7,0.03125,0.0001171875,0.25,0.00375,-1367.022972422535
2,0.0,7,0.03125,0.000234375,0.5,0.0075,-1409.6601196399806
2,0.0,7,0.03125,0.00046875,1.0,0.015,-1435.158783604479
2,0.0,7,0.0625,3.662109375e-06,0.00390625,5.859375e-05,-502.7220342620497
2,0.0,7,0.0625,7.32421875e-06,0.0078125,0.0001171875,-711.5611440090943
2,0.0,7,0.0625,1.46484375e-05,0.015625,0.000234375,-908.3591198813236
2,0.0,7,0.0625,2.9296875e-05,0.03125,0.00046875,-1059.9302373246978
2,0.0,7,0.0625,5.859375e-05,0.0625,0.0009375,-1226.3351820469538
2,0.0,7,0.0625,0.0001171875,0.125,0.001875,-1373.9953652857976
2,0.0,7,0.0625,0.000234375,0.25,0.00375,-1480.739733859879
2,0.0,7,0.0625,0.00046875,0.5,0.0075,-1542.132341939985
2,0.0,7,0.0625,0.0009375,1.0,0.015,-1612.9983111248691
2,0.0,7,0.125,7.32421875e-06,0.00390625,5.859375e-05,-566.1675081201881
2,0.0,7,0.125,1.46484375e-05,0.0078125,0.0001171875,-791.1760199483035
2,0.0,7,0.125,2.9296875e-05,0.015625,0.000234375,-1002.9673070888198
2,0.0,7,0.125,5.859375e-05,0.03125,0.00046875,-1175.435675961005
2,0.0,7,0.125,0.0001171875,0.0625,0.0009375,-1349.1319207928475
2,0.0,7,0.125,0.000234375,0.125,0.001875,-1503.4791350541525
2,0.0,7,0.125,0.00046875,0.25,0.00375,-1627.144497928108
2,0.0,7,0.125,0.0009375,0.5,0.0075,-1740.6592466111288
2,0.0,7,0.125,0.001875,1.0,0.015,-1885.782132473966
