A,E,dd,hh,n,d (m),h1 (m),es.V0_1-es.V0_2 (V)
0.25,1,0.125,0.00390625,64,7.32421875E-6,5.859375E-5,-32.08501004192076
0.25,1,0.125,0.0078125,64,1.46484375E-5,1.171875E-4,-27.091388169197863
0.25,1,0.125,0.015625,64,2.9296875E-5,2.34375E-4,-14.050725123296974
0.25,1,0.125,0.03125,64,5.859375E-5,4.6875E-4,10.398547848703222
0.25,1,0.125,0.0625,64,1.171875E-4,9.375E-4,50.51012425218318
0.25,1,0.125,0.125,64,2.34375E-4,0.001875,114.818421574885
0.25,1,0.125,0.25,64,4.6875E-4,0.00375,209.66144384788822
0.25,1,0.125,0.5,64,9.375E-4,0.0075,329.66599061874564
0.25,1,0.125,1,64,0.001875,0.015,432.7902960567683
0.25,1,0.25,0.00390625,64,1.46484375E-5,5.859375E-5,-35.08478091176006
0.25,1,0.25,0.0078125,64,2.9296875E-5,1.171875E-4,-32.13483789561121
0.25,1,0.25,0.015625,64,5.859375E-5,2.34375E-4,-23.259940490325533
0.25,1,0.25,0.03125,64,1.171875E-4,4.6875E-4,-8.302390122311772
0.25,1,0.25,0.0625,64,2.34375E-4,9.375E-4,11.123103676705194
0.25,1,0.25,0.125,64,4.6875E-4,0.001875,36.58079121585364
0.25,1,0.25,0.25,64,9.375E-4,0.00375,67.41260638422023
0.25,1,0.25,0.5,64,0.001875,0.0075,92.43452856293658
0.25,1,0.25,1,64,0.00375,0.015,70.23911725829342
0.25,1,0.5,0.00390625,64,2.9296875E-5,5.859375E-5,-40.8978842557688
0.25,1,0.5,0.0078125,64,5.859375E-5,1.171875E-4,-42.11610174817241
0.25,1,0.5,0.015625,64,1.171875E-4,2.34375E-4,-42.67188201726761
0.25,1,0.5,0.03125,64,2.34375E-4,4.6875E-4,-48.84183886355855
0.25,1,0.5,0.0625,64,4.6875E-4,9.375E-4,-70.17084194062402
0.25,1,0.5,0.125,64,9.375E-4,0.001875,-115.26360157153606
0.25,1,0.5,0.25,64,0.001875,0.00375,-191.598890597663
0.25,1,0.5,0.5,64,0.00375,0.0075,-308.9122637807599
0.25,1,0.5,1,64,0.0075,0.015,-483.6449135991977
0.25,1,1,0.00390625,64,5.859375E-5,5.859375E-5,-52.24086409626099
0.25,1,1,0.0078125,64,1.171875E-4,1.171875E-4,-62.77636102736662
0.25,1,1,0.015625,64,2.34375E-4,2.34375E-4,-84.14856359244791
0.25,1,1,0.03125,64,4.6875E-4,4.6875E-4,-132.27992817571922
0.25,1,1,0.0625,64,9.375E-4,9.375E-4,-228.3023745684655
0.25,1,1,0.125,64,0.001875,0.001875,-390.1799596302708
0.25,1,1,0.25,64,0.00375,0.00375,-626.4578801572144
0.25,1,1,0.5,64,0.0075,0.0075,-916.7280608806284
0.25,1,1,1,64,0.015,0.015,-1199.052639527081
0.25,2,0.03125,0.00390625,64,1.8310546875E-6,5.859375E-5,-30.477914849434505
0.25,2,0.03125,0.0078125,64,3.662109375E-6,1.171875E-4,-27.871492656239518
0.25,2,0.03125,0.015625,64,7.32421875E-6,2.34375E-4,-19.26800529119215
0.25,2,0.03125,0.03125,64,1.46484375E-5,4.6875E-4,-0.0769249205730862
0.25,2,0.03125,0.0625,64,2.9296875E-5,9.375E-4,35.70872110048756
0.25,2,0.03125,0.125,64,5.859375E-5,0.001875,101.11546638825321
0.25,2,0.03125,0.25,64,1.171875E-4,0.00375,207.94120841995732
0.25,2,0.03125,0.5,64,2.34375E-4,0.0075,372.1139511863548
0.25,2,0.03125,1,64,4.6875E-4,0.015,578.2328052304905
0.25,2,0.0625,0.00390625,64,3.662109375E-6,5.859375E-5,-31.745699492098716
0.25,2,0.0625,0.0078125,64,7.32421875E-6,1.171875E-4,-30.072619265200277
